parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
31461IN-0,31461IN-0,White,0,White,,,https://www.kohler.co.in/p/span-wall-mount-basin-with-single-faucet-hole-in-white-31461in?skuId=31461IN-0
5583IN-1WH-0,5583IN-1WH-0,White,0,White,,,https://www.kohler.co.in/p/brive-wall-mount-lavatory-with-single-faucet-hole-5583in-1wh?skuId=5583IN-1WH-0
31458IN-0,31458IN-0,White,0,White,,,https://www.kohler.co.in/p/span-round-wm-lavatory-small-480x440-31458in?skuId=31458IN-0
31460IN-0,31460IN-0,White,0,White,,,https://www.kohler.co.in/p/span-square-wm-lavatory-small-480x440-31460in?skuId=31460IN-0
30520IN-0,30520IN-0,White,0,White,,,https://www.kohler.co.in/p/trace-550-mm-rectangular-wall-mount-bathroom-sink-30520in?skuId=30520IN-0
C63,C63,,,,,,https://www.kohler.co.in/p/basin-vitality-mirror-combo-with-modern-life-basin-in-thunder-grey-1?skuId=C63
34229IN-0,34229IN-0,White,0,White,,,https://www.kohler.co.in/p/apt-550-mm-rectangular-wall-mount-bathroom-sink-no-overflow-34229in?skuId=34229IN-0
C5,C5,,,,,,https://www.kohler.co.in/p/comfort-basin-combo-1?skuId=C5
25317IN-0,25317IN-0,White,0,White,,,https://www.kohler.co.in/p/span-544-mm-rectangular-wall-mount-bathroom-sink-with-glazed-underside-25317in?skuId=25317IN-0
C64,C64,,,,,,https://www.kohler.co.in/p/basin-vitality-mirror-combo-with-modern-life-basin-in-white-1?skuId=C64
C62,C62,,,,,,https://www.kohler.co.in/p/basin-vitality-mirror-combo-with-modern-life-basin-in-peacock-1?skuId=C62
